date,adgroup,criteria,clicks,impressions,cost,campaign
2023-06-01,Conv_Esign_Mas,Image_0103,1026,58717,2269753,Conv_Esign
2023-06-01,Conv_Esign_Mas,Image_0104,938,66001,2364420,Conv_Esign
2023-06-01,Conv_Esign_Mas,Image_0204,11,1788,20368,Conv_Esign
2023-06-01,Conv_Esign_Mas,Video_0103,56,2197,133922,Conv_Esign
2023-06-01,Conv_Esign_Retargeting,Image_0103,25,539,31589,Conv_Esign
2023-06-01,Conv_Esign_Retargeting,Image_0104,48,957,52853,Conv_Esign
2023-06-01,Conv_Esign_Retargeting,Video_0103,5,3,820,Conv_Esign
2023-06-01,EVO_Conv_TPB DOP_Bank,Image_0103,98,2538,157442,EVO_Conv_TPB DOP_Esign
2023-06-01,EVO_Conv_TPB DOP_Bank,Image_0104,55,4663,169789,EVO_Conv_TPB DOP_Esign
2023-06-01,EVO_Conv_TPB DOP_Bank,Image_0204,5,917,6910,EVO_Conv_TPB DOP_Esign
2023-06-01,EVO_Conv_TPB DOP_Bank,Video_0103,11,411,26296,EVO_Conv_TPB DOP_Esign
2023-06-01,EVO_Conv_TPB DOP_CreditCard_Esign,Image_0103,3,359,9732,EVO_Conv_TPB DOP_Esign
2023-06-01,EVO_Conv_TPB DOP_CreditCard_Esign,Image_0104,5,273,6477,EVO_Conv_TPB DOP_Esign
2023-06-01,EVO_Conv_TPB DOP_CreditCard_Esign,Image_0204,0,99,280,EVO_Conv_TPB DOP_Esign
2023-06-01,EVO_Conv_TPB DOP_CreditCard_Esign,Video_0103,8,324,7369,EVO_Conv_TPB DOP_Esign
2023-06-01,EVO_Conv_TPB DOP_Ecommerce,Image_0103,134,4818,194631,EVO_Conv_TPB DOP_Esign
2023-06-01,EVO_Conv_TPB DOP_Ecommerce,Image_0104,72,2469,136421,EVO_Conv_TPB DOP_Esign
2023-06-01,EVO_Conv_TPB DOP_Ecommerce,Image_0204,3,57,1539,EVO_Conv_TPB DOP_Esign
2023-06-01,EVO_Conv_TPB DOP_Ecommerce,Video_0103,17,587,38458,EVO_Conv_TPB DOP_Esign
2023-06-01,EVO_Conv_TPB DOP_Insurance,Image_0103,12,906,22437,EVO_Conv_TPB DOP_Esign
2023-06-01,EVO_Conv_TPB DOP_Insurance,Image_0104,1,81,2499,EVO_Conv_TPB DOP_Esign
2023-06-01,EVO_Conv_TPB DOP_Insurance,Image_0204,3,46,582,EVO_Conv_TPB DOP_Esign
2023-06-01,EVO_Conv_TPB DOP_Insurance,Video_0103,6,152,6220,EVO_Conv_TPB DOP_Esign
2023-06-01,EVO_Conv_TPB DOP_Investment,Image_0103,8,317,11847,EVO_Conv_TPB DOP_Esign
2023-06-01,EVO_Conv_TPB DOP_Investment,Image_0104,4,206,6343,EVO_Conv_TPB DOP_Esign
2023-06-01,EVO_Conv_TPB DOP_Investment,Image_0204,0,3,40,EVO_Conv_TPB DOP_Esign
2023-06-01,EVO_Conv_TPB DOP_Investment,Video_0103,0,14,359,EVO_Conv_TPB DOP_Esign
2023-06-01,EVO_Conv_TPB DOP_LALCardActive_Esign,Image_0103,19,353,11537,EVO_Conv_TPB DOP_Esign
2023-06-01,EVO_Conv_TPB DOP_LALCardActive_Esign,Image_0104,14,434,13490,EVO_Conv_TPB DOP_Esign
2023-06-01,EVO_Conv_TPB DOP_LALCardActive_Esign,Video_0103,0,2,219,EVO_Conv_TPB DOP_Esign
2023-06-01,EVO_Conv_TPB DOP_Mortgage,Image_0103,54,2088,77199,EVO_Conv_TPB DOP_Esign
