"Reporting starts","Reporting ends","Ad name","Ad delivery","Ad set name",Bid,"Bid Type","Ad set budget","Ad set budget type","Last significant edit","Attribution setting",Results,"Result indicator",Reach,Impressions,"Cost per results","Quality ranking","Engagement rate ranking","Conversion rate ranking","Amount spent (VND)",Ends,"Clicks (all)","Campaign ID","Campaign name"
2023-09-21,2023-09-21,Video_2,inactive,"EVO_Conv_TPB DOP_LALEsign_EKYC",30000,ABSOLUTE_OCPM,2400000,Daily,2023-09-19T17:11:40+0700,"1-day click",,,0,0,,-,-,-,0,"Đang diễn ra",0,23851078669890508,"EVO_Conv_TPB DOP_EKYC"
2023-09-21,2023-09-21,Video_1,inactive,"EVO_Conv_TPB DOP_LALEsign_EKYC",30000,ABSOLUTE_OCPM,2400000,Daily,2023-09-19T17:11:40+0700,"1-day click",,,0,0,,-,-,-,0,"Đang diễn ra",0,23851078669890508,"EVO_Conv_TPB DOP_EKYC"
2023-09-21,2023-09-21,Video_3,inactive,"EVO_Conv_TPB DOP_LALEsign_EKYC",30000,ABSOLUTE_OCPM,2400000,Daily,2023-09-19T17:11:40+0700,"1-day click",,,0,0,,-,-,-,0,"Đang diễn ra",0,23851078669890508,"EVO_Conv_TPB DOP_EKYC"
2023-09-21,2023-09-21,Image_1001,inactive,"EVO_Conv_TPB DOP_LALEsign_EKYC",30000,ABSOLUTE_OCPM,2400000,Daily,2023-09-19T17:11:40+0700,"1-day click",,,0,0,,-,-,-,0,"Đang diễn ra",0,23851078669890508,"EVO_Conv_TPB DOP_EKYC"
2023-09-21,2023-09-21,Video_3,inactive,"EVO_Conv_TPB DOP_Retargeting_EKYC",30000,ABSOLUTE_OCPM,1000000,Daily,2023-09-19T11:10:24+0700,"1-day click",,,0,0,,-,-,-,0,"Đang diễn ra",0,23851078669890508,"EVO_Conv_TPB DOP_EKYC"
2023-09-21,2023-09-21,Image_1001,inactive,"EVO_Conv_TPB DOP_Retargeting_EKYC",30000,ABSOLUTE_OCPM,1000000,Daily,2023-09-19T11:10:24+0700,"1-day click",,,0,0,,-,-,-,0,"Đang diễn ra",0,23851078669890508,"EVO_Conv_TPB DOP_EKYC"
2023-09-21,2023-09-21,Carousel_1001,not_delivering,"EVO_Conv_TPB DOP_Retargeting_EKYC",30000,ABSOLUTE_OCPM,1000000,Daily,2023-09-19T11:10:24+0700,"1-day click",1,conversions:offsite_conversion.fb_pixel_custom./step/ekyc.selfie.active,436,664,43447,-,-,-,43447,"Đang diễn ra",29,23851078669890508,"EVO_Conv_TPB DOP_EKYC"
2023-09-21,2023-09-21,Carousel_1001,inactive,"EVO_Conv_TPB DOP_LALEsign_EKYC",30000,ABSOLUTE_OCPM,2400000,Daily,2023-09-19T17:11:40+0700,"1-day click",,,0,0,,-,-,-,0,"Đang diễn ra",0,23851078669890508,"EVO_Conv_TPB DOP_EKYC"
2023-09-21,2023-09-21,Image_1002,inactive,"EVO_Conv_TPB DOP_LALEsign_EKYC",30000,ABSOLUTE_OCPM,2400000,Daily,2023-09-19T17:11:40+0700,"1-day click",,,0,0,,-,-,-,0,"Đang diễn ra",0,23851078669890508,"EVO_Conv_TPB DOP_EKYC"
2023-09-21,2023-09-21,Image_1002,inactive,"EVO_Conv_TPB DOP_Retargeting_EKYC",30000,ABSOLUTE_OCPM,1000000,Daily,2023-09-19T11:10:24+0700,"1-day click",,,0,0,,-,-,-,0,"Đang diễn ra",0,23851078669890508,"EVO_Conv_TPB DOP_EKYC"
